Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Desc_superficie,Superficie_m2
2017,6,Gràcia,28,Vallcarca i els Penitents,91-120 m²,1533
2017,6,Gràcia,29,el Coll,91-120 m²,342
2017,6,Gràcia,30,la Salut,91-120 m²,1669
2017,6,Gràcia,31,la Vila de Gràcia,91-120 m²,3961
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,91-120 m²,2941
2017,7,Horta-Guinardó,33,el Baix Guinardó,91-120 m²,1846
2017,7,Horta-Guinardó,34,Can Baró,91-120 m²,588
2017,7,Horta-Guinardó,35,el Guinardó,91-120 m²,2258
2017,7,Horta-Guinardó,36,la Font d'en Fargues,91-120 m²,740
2017,7,Horta-Guinardó,37,el Carmel,91-120 m²,616
2017,7,Horta-Guinardó,38,la Teixonera,91-120 m²,465
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,91-120 m²,130
2017,7,Horta-Guinardó,40,Montbau,91-120 m²,73
2017,7,Horta-Guinardó,41,la Vall d'Hebron,91-120 m²,177
2017,7,Horta-Guinardó,42,la Clota,91-120 m²,52
2017,7,Horta-Guinardó,43,Horta,91-120 m²,1365
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,91-120 m²,1248
2017,8,Nou Barris,45,Porta,91-120 m²,830
2017,8,Nou Barris,46,el Turó de la Peira,91-120 m²,233
2017,8,Nou Barris,47,Can Peguera,91-120 m²,3
2017,8,Nou Barris,48,la Guineueta,91-120 m²,783
2017,8,Nou Barris,49,Canyelles,91-120 m²,559
2017,8,Nou Barris,50,les Roquetes,91-120 m²,306
2017,8,Nou Barris,51,Verdun,91-120 m²,230
2017,8,Nou Barris,52,la Prosperitat,91-120 m²,631
2017,8,Nou Barris,53,la Trinitat Nova,91-120 m²,145
2017,8,Nou Barris,54,Torre Baró,91-120 m²,179
2017,8,Nou Barris,55,Ciutat Meridiana,91-120 m²,6
2017,8,Nou Barris,56,Vallbona,91-120 m²,88
2017,9,Sant Andreu,57,la Trinitat Vella,91-120 m²,332
2017,9,Sant Andreu,58,Baró de Viver,91-120 m²,83
2017,9,Sant Andreu,59,el Bon Pastor,91-120 m²,573
2017,9,Sant Andreu,60,Sant Andreu,91-120 m²,3964
2017,9,Sant Andreu,61,la Sagrera,91-120 m²,1791
2017,9,Sant Andreu,62,el Congrés i els Indians,91-120 m²,703
2017,9,Sant Andreu,63,Navas,91-120 m²,1523
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,91-120 m²,2484
2017,10,Sant Martí,65,el Clot,91-120 m²,1847
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,91-120 m²,1165
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,91-120 m²,1176
2017,10,Sant Martí,68,el Poblenou,91-120 m²,3101
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,91-120 m²,1321
2017,10,Sant Martí,70,el Besòs i el Maresme,91-120 m²,286
2017,10,Sant Martí,71,Provençals del Poblenou,91-120 m²,1353
2017,10,Sant Martí,72,Sant Martí de Provençals,91-120 m²,1912
2017,10,Sant Martí,73,la Verneda i la Pau,91-120 m²,1086
2017,1,Ciutat Vella,1,el Raval,121-150 m²,884
2017,1,Ciutat Vella,2,el Barri Gòtic,121-150 m²,1040
2017,1,Ciutat Vella,3,la Barceloneta,121-150 m²,40
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",121-150 m²,889
2017,2,Eixample,5,el Fort Pienc,121-150 m²,613
2017,2,Eixample,6,la Sagrada Família,121-150 m²,758
