Year,Trimester,Code_Dist,Name_Dist,Code_NBHD,Name_NBHD,Thousands_Euros,Euros_M2,Type_y
2019,2,8,Nou Barris,44,Vilapicina i la Torre Llobeta,182.5,2669.2,Total
2019,2,8,Nou Barris,45,Porta,169.0,2949.6,Total
2019,2,8,Nou Barris,46,el Turó de la Peira,137.3,2062.6,Total
2019,2,8,Nou Barris,47,Can Peguera,,,Total
2019,2,8,Nou Barris,48,la Guineueta,198.6,2716.3,Total
2019,2,8,Nou Barris,49,Canyelles,190.7,2493.5,Total
2019,2,8,Nou Barris,50,les Roquetes,120.9,2351.9,Total
2019,2,8,Nou Barris,51,Verdun,127.3,2200.4,Total
2019,2,8,Nou Barris,52,la Prosperitat,124.1,1954.1,Total
2019,2,8,Nou Barris,53,la Trinitat Nova,90.8,1847.2,Total
2019,2,8,Nou Barris,54,Torre Baró,,,Total
2019,2,8,Nou Barris,55,Ciutat Meridiana,90.7,1584.1,Total
2019,2,8,Nou Barris,56,Vallbona,99.9,1152.8,Total
2019,2,9,Sant Andreu,57,la Trinitat Vella,237.2,3265.5,Total
2019,2,9,Sant Andreu,58,Baró de Viver,,,Total
2019,2,9,Sant Andreu,59,el Bon Pastor,145.6,2045.7,Total
2019,2,9,Sant Andreu,60,Sant Andreu,244.6,3380.4,Total
2019,2,9,Sant Andreu,61,la Sagrera,293.5,3854.7,Total
2019,2,9,Sant Andreu,62,el Congrés i els Indians,217.3,2804.6,Total
2019,2,9,Sant Andreu,63,Navas,371.9,4168.4,Total
2019,2,10,Sant Martí,64,el Camp de l'Arpa del Clot,323.7,4116.0,Total
2019,2,10,Sant Martí,65,el Clot,379.4,4393.2,Total
2019,2,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,280.8,4040.7,Total
2019,2,10,Sant Martí,67,la Vila Olímpica del Poblenou,553.3,4893.9,Total
2019,2,10,Sant Martí,68,el Poblenou,306.8,4514.8,Total
2019,2,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,806.8,7084.1,Total
2019,2,10,Sant Martí,70,el Besòs i el Maresme,375.8,3877.0,Total
2019,2,10,Sant Martí,71,Provençals del Poblenou,324.7,4335.5,Total
2019,2,10,Sant Martí,72,Sant Martí de Provençals,261.5,3443.0,Total
2019,2,10,Sant Martí,73,la Verneda i la Pau,168.3,2488.7,Total
2019,2,1,Ciutat Vella,1,el Raval,338.2,6927.4,New
2019,2,1,Ciutat Vella,2,el Barri Gòtic,617.1,7267.3,New
2019,2,1,Ciutat Vella,3,la Barceloneta,,,New
2019,2,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",401.3,4022.3,New
2019,2,2,Eixample,5,el Fort Pienc,2039.7,10523.9,New
2019,2,2,Eixample,6,la Sagrada Família,,,New
2019,2,2,Eixample,7,la Dreta de l'Eixample,805.8,6386.1,New
2019,2,2,Eixample,8,l'Antiga Esquerra de l'Eixample,,,New
2019,2,2,Eixample,9,la Nova Esquerra de l'Eixample,247.5,3929.2,New
2019,2,2,Eixample,10,Sant Antoni,,,New
2019,2,3,Sants-Montjuïc,11,el Poble Sec,176.7,2194.2,New
2019,2,3,Sants-Montjuïc,12,la Marina del Prat Vermell,,,New
2019,2,3,Sants-Montjuïc,13,la Marina de Port,,,New
2019,2,3,Sants-Montjuïc,14,la Font de la Guatlla,,,New
2019,2,3,Sants-Montjuïc,15,Hostafrancs,,,New
2019,2,3,Sants-Montjuïc,16,la Bordeta,,,New
2019,2,3,Sants-Montjuïc,17,Sants - Badal,,,New
2019,2,3,Sants-Montjuïc,18,Sants,,,New
2019,2,4,Les Corts,19,les Corts,575.8,5906.8,New
2019,2,4,Les Corts,20,la Maternitat i Sant Ramon,,,New
2019,2,4,Les Corts,21,Pedralbes,,,New
2019,2,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",,,New
2019,2,5,Sarrià-Sant Gervasi,23,Sarrià,,,New
2019,2,5,Sarrià-Sant Gervasi,24,les Tres Torres,,,New
2019,2,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,719.6,6985.5,New
2019,2,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,531.3,5396.0,New
2019,2,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,307.5,3854.5,New
2019,2,6,Gràcia,28,Vallcarca i els Penitents,290.0,5445.6,New
2019,2,6,Gràcia,29,el Coll,,,New
2019,2,6,Gràcia,30,la Salut,,,New
2019,2,6,Gràcia,31,la Vila de Gràcia,285.3,3335.9,New
2019,2,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,,,New
2019,2,7,Horta-Guinardó,33,el Baix Guinardó,,,New
2019,2,7,Horta-Guinardó,34,Can Baró,,,New
2019,2,7,Horta-Guinardó,35,el Guinardó,320.0,3932.4,New
2019,2,7,Horta-Guinardó,36,la Font d'en Fargues,,,New
2019,2,7,Horta-Guinardó,37,el Carmel,234.6,2988.6,New
2019,2,7,Horta-Guinardó,38,la Teixonera,172.8,2699.8,New
2019,2,7,Horta-Guinardó,39,Sant Genís dels Agudells,195.4,2246.5,New
2019,2,7,Horta-Guinardó,40,Montbau,165.0,2716.4,New
2019,2,7,Horta-Guinardó,41,la Vall d'Hebron,191.7,3431.3,New
2019,2,7,Horta-Guinardó,42,la Clota,,,New
